gender,hedge_first,hedge_comfy,apology_first,apology_comfy,tag_questions,rising_intonation,empty_adjectives,precise_colours,intensifires,hypercorrect_grammar,superpolite_forms,avoid_slangs,emphatic_stress,hedges,none_of_them
Female,4,2,3,4,0,0,0,0,0,0,0,0,0,0,0
Female,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0
Female,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0
Female,5,3,5,5,0,0,0,0,0,0,0,0,0,0,0
Female,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0
Female,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0
Female,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0
Female,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0
Female,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0
Female,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0
Female,1,2,2,2,0,1,0,1,0,0,0,0,0,1,0
Female,4,2,2,4,1,0,1,0,0,0,0,0,0,1,0
Female,4,4,5,3,0,0,0,0,0,0,0,1,1,1,0
Female,3,4,1,3,1,1,0,0,1,0,0,0,0,1,0
Female,2,5,1,3,0,0,0,1,0,0,0,1,0,0,0
Female,5,1,2,5,0,1,1,0,1,0,0,0,0,0,0
Female,3,3,3,4,1,1,0,1,0,0,0,0,0,1,0
Female,2,5,5,2,1,1,0,1,0,0,0,0,0,1,0
Female,2,2,4,3,0,0,0,1,1,0,0,0,1,0,0
Female,1,2,1,3,1,1,1,1,1,0,0,0,0,1,0
Female,4,2,4,3,1,1,0,0,1,0,0,0,0,1,0
Female,3,5,2,5,1,0,0,0,1,0,0,0,0,1,0
Female,2,5,2,5,1,1,1,0,1,0,0,0,0,1,0
Female,3,3,5,5,0,1,0,0,0,0,0,0,0,1,0
Female,3,2,2,1,1,1,1,0,1,0,0,1,1,1,0
Female,4,5,4,5,1,1,1,0,1,0,0,0,0,1,0
Female,2,3,5,2,0,0,1,0,1,0,0,0,0,1,0
Female,3,4,4,1,0,1,1,0,1,0,0,0,1,0,0
Female,4,3,5,3,1,1,1,0,1,0,0,0,0,0,0
Female,4,2,2,4,1,0,1,0,0,0,0,0,0,1,0
Female,3,4,4,5,0,1,1,0,1,0,0,0,0,1,0
Female,5,5,3,5,1,1,1,0,0,0,0,0,1,1,0
